Wk,Date,Rk.1,Prev,Chng,team,team_location
5,2020-12-21,20,21,1,Duke,"Durham, North Carolina"
6,2020-12-28,20,20,-,Duke,"Durham, North Carolina"
7,2021-01-04,21,20,1,Duke,"Durham, North Carolina"
8,2021-01-11,19,21,2,Duke,"Durham, North Carolina"
1,Preseason,4,,—,Duke,"Durham, North Carolina"
2,2019-11-11,2,4,2,Duke,"Durham, North Carolina"
3,2019-11-18,1,2,1,Duke,"Durham, North Carolina"
4,2019-11-25,1,1,-,Duke,"Durham, North Carolina"
5,2019-12-02,10,1,9,Duke,"Durham, North Carolina"
6,2019-12-09,7,10,3,Duke,"Durham, North Carolina"
7,2019-12-16,4,7,3,Duke,"Durham, North Carolina"
8,2019-12-23,4,4,-,Duke,"Durham, North Carolina"
9,2019-12-30,2,4,2,Duke,"Durham, North Carolina"
10,2020-01-06,2,2,-,Duke,"Durham, North Carolina"
11,2020-01-13,3,2,1,Duke,"Durham, North Carolina"
12,2020-01-20,8,3,5,Duke,"Durham, North Carolina"
13,2020-01-27,9,8,1,Duke,"Durham, North Carolina"
14,2020-02-03,7,9,2,Duke,"Durham, North Carolina"
15,2020-02-10,7,7,-,Duke,"Durham, North Carolina"
16,2020-02-17,6,7,1,Duke,"Durham, North Carolina"
17,2020-02-24,7,6,1,Duke,"Durham, North Carolina"
18,2020-03-02,12,7,5,Duke,"Durham, North Carolina"
19,2020-03-09,10,12,2,Duke,"Durham, North Carolina"
20,Final,11,10,1,Duke,"Durham, North Carolina"
1,Preseason,4,,—,Duke,"Durham, North Carolina"
2,2018-11-12,1,4,3,Duke,"Durham, North Carolina"
3,2018-11-19,1,1,-,Duke,"Durham, North Carolina"
4,2018-11-26,3,1,2,Duke,"Durham, North Carolina"
5,2018-12-03,3,3,-,Duke,"Durham, North Carolina"
6,2018-12-10,2,3,1,Duke,"Durham, North Carolina"
7,2018-12-17,2,2,-,Duke,"Durham, North Carolina"
8,2018-12-24,1,2,1,Duke,"Durham, North Carolina"
9,2018-12-31,1,1,-,Duke,"Durham, North Carolina"
10,2019-01-07,1,1,-,Duke,"Durham, North Carolina"
11,2019-01-14,1,1,-,Duke,"Durham, North Carolina"
12,2019-01-21,2,1,1,Duke,"Durham, North Carolina"
13,2019-01-28,2,2,-,Duke,"Durham, North Carolina"
14,2019-02-04,2,2,-,Duke,"Durham, North Carolina"
15,2019-02-11,2,2,-,Duke,"Durham, North Carolina"
16,2019-02-18,1,2,1,Duke,"Durham, North Carolina"
17,2019-02-25,3,1,2,Duke,"Durham, North Carolina"
18,2019-03-04,4,3,1,Duke,"Durham, North Carolina"
19,2019-03-11,5,4,1,Duke,"Durham, North Carolina"
20,Final,1,5,4,Duke,"Durham, North Carolina"
1,Preseason,1,,—,Duke,"Durham, North Carolina"
2,2017-11-13,1,1,-,Duke,"Durham, North Carolina"
3,2017-11-20,1,1,-,Duke,"Durham, North Carolina"
4,2017-11-27,1,1,-,Duke,"Durham, North Carolina"
5,2017-12-04,1,1,-,Duke,"Durham, North Carolina"
6,2017-12-11,4,1,3,Duke,"Durham, North Carolina"
7,2017-12-18,4,4,-,Duke,"Durham, North Carolina"
8,2017-12-25,4,4,-,Duke,"Durham, North Carolina"
9,2018-01-01,2,4,2,Duke,"Durham, North Carolina"
10,2018-01-08,7,2,5,Duke,"Durham, North Carolina"
11,2018-01-15,5,7,2,Duke,"Durham, North Carolina"
12,2018-01-22,4,5,1,Duke,"Durham, North Carolina"
13,2018-01-29,4,4,-,Duke,"Durham, North Carolina"
14,2018-02-05,9,4,5,Duke,"Durham, North Carolina"
15,2018-02-12,12,9,3,Duke,"Durham, North Carolina"
16,2018-02-19,5,12,7,Duke,"Durham, North Carolina"
17,2018-02-26,5,5,-,Duke,"Durham, North Carolina"
18,2018-03-05,5,5,-,Duke,"Durham, North Carolina"
19,Final,9,5,4,Duke,"Durham, North Carolina"
1,Preseason,1,,—,Duke,"Durham, North Carolina"
2,2016-11-14,1,1,-,Duke,"Durham, North Carolina"
3,2016-11-21,6,1,5,Duke,"Durham, North Carolina"
4,2016-11-28,5,6,1,Duke,"Durham, North Carolina"
5,2016-12-05,5,5,-,Duke,"Durham, North Carolina"
6,2016-12-12,5,5,-,Duke,"Durham, North Carolina"
7,2016-12-19,5,5,-,Duke,"Durham, North Carolina"
8,2016-12-26,5,5,-,Duke,"Durham, North Carolina"
9,2017-01-02,8,5,3,Duke,"Durham, North Carolina"
10,2017-01-09,7,8,1,Duke,"Durham, North Carolina"
11,2017-01-16,18,7,11,Duke,"Durham, North Carolina"
12,2017-01-23,17,18,1,Duke,"Durham, North Carolina"
13,2017-01-30,21,17,4,Duke,"Durham, North Carolina"
14,2017-02-06,18,21,3,Duke,"Durham, North Carolina"
15,2017-02-13,12,18,6,Duke,"Durham, North Carolina"
16,2017-02-20,10,12,2,Duke,"Durham, North Carolina"
17,2017-02-27,17,10,7,Duke,"Durham, North Carolina"
18,2017-03-06,14,17,3,Duke,"Durham, North Carolina"
19,Final,7,14,7,Duke,"Durham, North Carolina"
1,Preseason,5,,—,Duke,"Durham, North Carolina"
2,2015-11-16,5,5,-,Duke,"Durham, North Carolina"
3,2015-11-23,6,5,1,Duke,"Durham, North Carolina"
4,2015-11-30,7,6,1,Duke,"Durham, North Carolina"
5,2015-12-07,8,7,1,Duke,"Durham, North Carolina"
6,2015-12-14,7,8,1,Duke,"Durham, North Carolina"
7,2015-12-21,15,7,8,Duke,"Durham, North Carolina"
8,2015-12-28,15,15,-,Duke,"Durham, North Carolina"
9,2016-01-04,14,15,1,Duke,"Durham, North Carolina"
10,2016-01-11,9,14,5,Duke,"Durham, North Carolina"
11,2016-01-18,20,9,11,Duke,"Durham, North Carolina"
12,2016-01-25,24,20,4,Duke,"Durham, North Carolina"
15,2016-02-15,20,,,Duke,"Durham, North Carolina"
16,2016-02-22,15,20,5,Duke,"Durham, North Carolina"
17,2016-02-29,17,15,2,Duke,"Durham, North Carolina"
18,2016-03-07,19,17,2,Duke,"Durham, North Carolina"
19,Final,19,19,-,Duke,"Durham, North Carolina"
1,Preseason,4,,—,Duke,"Durham, North Carolina"
2,2014-11-17,4,4,-,Duke,"Durham, North Carolina"
3,2014-11-24,4,4,-,Duke,"Durham, North Carolina"
4,2014-12-01,4,4,-,Duke,"Durham, North Carolina"
5,2014-12-08,2,4,2,Duke,"Durham, North Carolina"
6,2014-12-15,2,2,-,Duke,"Durham, North Carolina"
7,2014-12-22,2,2,-,Duke,"Durham, North Carolina"
8,2014-12-29,2,2,-,Duke,"Durham, North Carolina"
9,2015-01-05,2,2,-,Duke,"Durham, North Carolina"
10,2015-01-12,4,2,2,Duke,"Durham, North Carolina"
11,2015-01-19,5,4,1,Duke,"Durham, North Carolina"
12,2015-01-26,4,5,1,Duke,"Durham, North Carolina"
13,2015-02-02,4,4,-,Duke,"Durham, North Carolina"
14,2015-02-09,4,4,-,Duke,"Durham, North Carolina"
15,2015-02-16,4,4,-,Duke,"Durham, North Carolina"
16,2015-02-23,4,4,-,Duke,"Durham, North Carolina"
17,2015-03-02,3,4,1,Duke,"Durham, North Carolina"
18,2015-03-09,2,3,1,Duke,"Durham, North Carolina"
19,Final,4,2,2,Duke,"Durham, North Carolina"
1,Preseason,4,,—,Duke,"Durham, North Carolina"
2,2013-11-11,4,4,-,Duke,"Durham, North Carolina"
3,2013-11-18,6,4,2,Duke,"Durham, North Carolina"
4,2013-11-25,6,6,-,Duke,"Durham, North Carolina"
5,2013-12-02,10,6,4,Duke,"Durham, North Carolina"
6,2013-12-09,8,10,2,Duke,"Durham, North Carolina"
7,2013-12-16,8,8,-,Duke,"Durham, North Carolina"
8,2013-12-23,8,8,-,Duke,"Durham, North Carolina"
9,2013-12-30,7,8,1,Duke,"Durham, North Carolina"
10,2014-01-06,16,7,9,Duke,"Durham, North Carolina"
11,2014-01-13,23,16,7,Duke,"Durham, North Carolina"
12,2014-01-20,18,23,5,Duke,"Durham, North Carolina"
13,2014-01-27,17,18,1,Duke,"Durham, North Carolina"
14,2014-02-03,11,17,6,Duke,"Durham, North Carolina"
15,2014-02-10,8,11,3,Duke,"Durham, North Carolina"
16,2014-02-17,5,8,3,Duke,"Durham, North Carolina"
17,2014-02-24,6,5,1,Duke,"Durham, North Carolina"
18,2014-03-03,4,6,2,Duke,"Durham, North Carolina"
19,2014-03-10,7,4,3,Duke,"Durham, North Carolina"
20,Final,8,7,1,Duke,"Durham, North Carolina"
1,Preseason,8,,—,Duke,"Durham, North Carolina"
2,2012-11-12,9,8,1,Duke,"Durham, North Carolina"
3,2012-11-19,5,9,4,Duke,"Durham, North Carolina"
4,2012-11-26,2,5,3,Duke,"Durham, North Carolina"
5,2012-12-03,2,2,-,Duke,"Durham, North Carolina"
6,2012-12-10,2,2,-,Duke,"Durham, North Carolina"
7,2012-12-17,1,2,1,Duke,"Durham, North Carolina"
8,2012-12-24,1,1,-,Duke,"Durham, North Carolina"
9,2012-12-31,1,1,-,Duke,"Durham, North Carolina"
10,2013-01-07,1,1,-,Duke,"Durham, North Carolina"
11,2013-01-14,3,1,2,Duke,"Durham, North Carolina"
12,2013-01-21,1,3,2,Duke,"Durham, North Carolina"
13,2013-01-28,5,1,4,Duke,"Durham, North Carolina"
14,2013-02-04,4,5,1,Duke,"Durham, North Carolina"
15,2013-02-11,2,4,2,Duke,"Durham, North Carolina"
16,2013-02-18,6,2,4,Duke,"Durham, North Carolina"
17,2013-02-25,3,6,3,Duke,"Durham, North Carolina"
18,2013-03-04,3,3,-,Duke,"Durham, North Carolina"
19,2013-03-11,2,3,1,Duke,"Durham, North Carolina"
20,Final,6,2,4,Duke,"Durham, North Carolina"
1,Preseason,6,,—,Duke,"Durham, North Carolina"
2,2011-11-14,6,6,-,Duke,"Durham, North Carolina"
3,2011-11-21,6,6,-,Duke,"Durham, North Carolina"
4,2011-11-28,3,6,3,Duke,"Durham, North Carolina"
5,2011-12-05,7,3,4,Duke,"Durham, North Carolina"
6,2011-12-12,7,7,-,Duke,"Durham, North Carolina"
7,2011-12-19,7,7,-,Duke,"Durham, North Carolina"
8,2011-12-26,7,7,-,Duke,"Durham, North Carolina"
9,2012-01-02,5,7,2,Duke,"Durham, North Carolina"
10,2012-01-09,8,5,3,Duke,"Durham, North Carolina"
11,2012-01-16,4,8,4,Duke,"Durham, North Carolina"
12,2012-01-23,8,4,4,Duke,"Durham, North Carolina"
13,2012-01-30,7,8,1,Duke,"Durham, North Carolina"
14,2012-02-06,10,7,3,Duke,"Durham, North Carolina"
15,2012-02-13,5,10,5,Duke,"Durham, North Carolina"
16,2012-02-20,5,5,-,Duke,"Durham, North Carolina"
17,2012-02-27,4,5,1,Duke,"Durham, North Carolina"
18,2012-03-05,6,4,2,Duke,"Durham, North Carolina"
19,Final,8,6,2,Duke,"Durham, North Carolina"
1,Preseason,1,,—,Duke,"Durham, North Carolina"
2,2010-11-15,1,1,-,Duke,"Durham, North Carolina"
3,2010-11-22,1,1,-,Duke,"Durham, North Carolina"
4,2010-11-29,1,1,-,Duke,"Durham, North Carolina"
5,2010-12-06,1,1,-,Duke,"Durham, North Carolina"
6,2010-12-13,1,1,-,Duke,"Durham, North Carolina"
7,2010-12-20,1,1,-,Duke,"Durham, North Carolina"
8,2010-12-27,1,1,-,Duke,"Durham, North Carolina"
9,2011-01-03,1,1,-,Duke,"Durham, North Carolina"
10,2011-01-10,1,1,-,Duke,"Durham, North Carolina"
11,2011-01-17,4,1,3,Duke,"Durham, North Carolina"
12,2011-01-24,3,4,1,Duke,"Durham, North Carolina"
13,2011-01-31,5,3,2,Duke,"Durham, North Carolina"
14,2011-02-07,5,5,-,Duke,"Durham, North Carolina"
15,2011-02-14,5,5,-,Duke,"Durham, North Carolina"
16,2011-02-21,1,5,4,Duke,"Durham, North Carolina"
17,2011-02-28,4,1,3,Duke,"Durham, North Carolina"
18,2011-03-07,5,4,1,Duke,"Durham, North Carolina"
19,Final,3,5,2,Duke,"Durham, North Carolina"
1,Preseason,9,,—,Duke,"Durham, North Carolina"
2,2009-11-16,9,9,-,Duke,"Durham, North Carolina"
3,2009-11-23,7,9,2,Duke,"Durham, North Carolina"
4,2009-11-30,6,7,1,Duke,"Durham, North Carolina"
5,2009-12-07,8,6,2,Duke,"Durham, North Carolina"
6,2009-12-14,7,8,1,Duke,"Durham, North Carolina"
7,2009-12-21,7,7,-,Duke,"Durham, North Carolina"
8,2009-12-28,7,7,-,Duke,"Durham, North Carolina"
9,2010-01-04,5,7,2,Duke,"Durham, North Carolina"
10,2010-01-11,8,5,3,Duke,"Durham, North Carolina"
11,2010-01-18,7,8,1,Duke,"Durham, North Carolina"
12,2010-01-25,8,7,1,Duke,"Durham, North Carolina"
13,2010-02-01,11,8,3,Duke,"Durham, North Carolina"
14,2010-02-08,8,11,3,Duke,"Durham, North Carolina"
15,2010-02-15,6,8,2,Duke,"Durham, North Carolina"
16,2010-02-22,5,6,1,Duke,"Durham, North Carolina"
17,2010-03-01,4,5,1,Duke,"Durham, North Carolina"
18,2010-03-08,4,4,-,Duke,"Durham, North Carolina"
19,Final,3,4,1,Duke,"Durham, North Carolina"
1,Preseason,8,,—,Duke,"Durham, North Carolina"
2,2008-11-17,10,8,2,Duke,"Durham, North Carolina"
3,2008-11-24,7,10,3,Duke,"Durham, North Carolina"
4,2008-12-01,4,7,3,Duke,"Durham, North Carolina"
5,2008-12-08,7,4,3,Duke,"Durham, North Carolina"
6,2008-12-15,6,7,1,Duke,"Durham, North Carolina"
7,2008-12-22,5,6,1,Duke,"Durham, North Carolina"
8,2008-12-29,5,5,-,Duke,"Durham, North Carolina"
9,2009-01-05,2,5,3,Duke,"Durham, North Carolina"
10,2009-01-12,3,2,1,Duke,"Durham, North Carolina"
11,2009-01-19,2,3,1,Duke,"Durham, North Carolina"
12,2009-01-26,1,2,1,Duke,"Durham, North Carolina"
13,2009-02-02,4,1,3,Duke,"Durham, North Carolina"
14,2009-02-09,6,4,2,Duke,"Durham, North Carolina"
15,2009-02-16,9,6,3,Duke,"Durham, North Carolina"
16,2009-02-23,7,9,2,Duke,"Durham, North Carolina"
17,2009-03-02,7,7,-,Duke,"Durham, North Carolina"
18,2009-03-09,9,7,2,Duke,"Durham, North Carolina"
19,Final,6,9,3,Duke,"Durham, North Carolina"
1,Preseason,13,,—,Duke,"Durham, North Carolina"
2,2007-11-12,13,13,-,Duke,"Durham, North Carolina"
3,2007-11-19,13,13,-,Duke,"Durham, North Carolina"
4,2007-11-26,7,13,6,Duke,"Durham, North Carolina"
5,2007-12-03,6,7,1,Duke,"Durham, North Carolina"
6,2007-12-10,6,6,-,Duke,"Durham, North Carolina"
7,2007-12-17,6,6,-,Duke,"Durham, North Carolina"
8,2007-12-24,10,6,4,Duke,"Durham, North Carolina"
9,2007-12-31,9,10,1,Duke,"Durham, North Carolina"
10,2008-01-07,9,9,-,Duke,"Durham, North Carolina"
11,2008-01-14,7,9,2,Duke,"Durham, North Carolina"
12,2008-01-21,4,7,3,Duke,"Durham, North Carolina"
13,2008-01-28,3,4,1,Duke,"Durham, North Carolina"
14,2008-02-04,2,3,1,Duke,"Durham, North Carolina"
15,2008-02-11,2,2,-,Duke,"Durham, North Carolina"
16,2008-02-18,5,2,3,Duke,"Durham, North Carolina"
17,2008-02-25,7,5,2,Duke,"Durham, North Carolina"
18,2008-03-03,6,7,1,Duke,"Durham, North Carolina"
19,2008-03-10,7,6,1,Duke,"Durham, North Carolina"
20,Final,9,7,2,Duke,"Durham, North Carolina"
1,Preseason,12,,—,Duke,"Durham, North Carolina"
2,2006-11-13,11,12,1,Duke,"Durham, North Carolina"
3,2006-11-20,9,11,2,Duke,"Durham, North Carolina"
4,2006-11-27,11,9,2,Duke,"Durham, North Carolina"
5,2006-12-04,7,11,4,Duke,"Durham, North Carolina"
6,2006-12-11,6,7,1,Duke,"Durham, North Carolina"
7,2006-12-18,6,6,-,Duke,"Durham, North Carolina"
8,2006-12-25,5,6,1,Duke,"Durham, North Carolina"
9,2007-01-01,5,5,-,Duke,"Durham, North Carolina"
10,2007-01-08,11,5,6,Duke,"Durham, North Carolina"
11,2007-01-15,14,11,3,Duke,"Durham, North Carolina"
12,2007-01-22,10,14,4,Duke,"Durham, North Carolina"
13,2007-01-29,8,10,2,Duke,"Durham, North Carolina"
14,2007-02-05,16,8,8,Duke,"Durham, North Carolina"
16,2007-02-19,18,,,Duke,"Durham, North Carolina"
17,2007-02-26,14,18,4,Duke,"Durham, North Carolina"
18,2007-03-05,21,14,7,Duke,"Durham, North Carolina"
1,Preseason,1,,—,Duke,"Durham, North Carolina"
2,2005-11-14,1,1,-,Duke,"Durham, North Carolina"
3,2005-11-21,1,1,-,Duke,"Durham, North Carolina"
4,2005-11-28,1,1,-,Duke,"Durham, North Carolina"
5,2005-12-05,1,1,-,Duke,"Durham, North Carolina"
6,2005-12-12,1,1,-,Duke,"Durham, North Carolina"
7,2005-12-19,1,1,-,Duke,"Durham, North Carolina"
8,2005-12-26,1,1,-,Duke,"Durham, North Carolina"
9,2006-01-02,1,1,-,Duke,"Durham, North Carolina"
10,2006-01-09,1,1,-,Duke,"Durham, North Carolina"
11,2006-01-16,1,1,-,Duke,"Durham, North Carolina"
12,2006-01-23,2,1,1,Duke,"Durham, North Carolina"
13,2006-01-30,2,2,-,Duke,"Durham, North Carolina"
14,2006-02-06,2,2,-,Duke,"Durham, North Carolina"
15,2006-02-13,2,2,-,Duke,"Durham, North Carolina"
16,2006-02-20,1,2,1,Duke,"Durham, North Carolina"
17,2006-02-27,1,1,-,Duke,"Durham, North Carolina"
18,2006-03-06,3,1,2,Duke,"Durham, North Carolina"
19,Final,1,3,2,Duke,"Durham, North Carolina"
1,Preseason,11,,—,Duke,"Durham, North Carolina"
2,2004-11-15,11,11,-,Duke,"Durham, North Carolina"
3,2004-11-22,9,11,2,Duke,"Durham, North Carolina"
4,2004-11-29,10,9,1,Duke,"Durham, North Carolina"
5,2004-12-06,9,10,1,Duke,"Durham, North Carolina"
6,2004-12-13,7,9,2,Duke,"Durham, North Carolina"
7,2004-12-20,6,7,1,Duke,"Durham, North Carolina"
8,2004-12-27,6,6,-,Duke,"Durham, North Carolina"
9,2005-01-03,5,6,1,Duke,"Durham, North Carolina"
10,2005-01-10,5,5,-,Duke,"Durham, North Carolina"
11,2005-01-17,4,5,1,Duke,"Durham, North Carolina"
12,2005-01-24,2,4,2,Duke,"Durham, North Carolina"
13,2005-01-31,4,2,2,Duke,"Durham, North Carolina"
14,2005-02-07,7,4,3,Duke,"Durham, North Carolina"
15,2005-02-14,7,7,-,Duke,"Durham, North Carolina"
16,2005-02-21,7,7,-,Duke,"Durham, North Carolina"
17,2005-02-28,6,7,1,Duke,"Durham, North Carolina"
18,2005-03-07,5,6,1,Duke,"Durham, North Carolina"
19,Final,3,5,2,Duke,"Durham, North Carolina"
1,Preseason,2,,—,Duke,"Durham, North Carolina"
2,2003-11-24,2,2,-,Duke,"Durham, North Carolina"
3,2003-12-01,6,2,4,Duke,"Durham, North Carolina"
4,2003-12-08,4,6,2,Duke,"Durham, North Carolina"
5,2003-12-15,3,4,1,Duke,"Durham, North Carolina"
6,2003-12-22,3,3,-,Duke,"Durham, North Carolina"
7,2003-12-31,2,3,1,Duke,"Durham, North Carolina"
8,2004-01-05,2,2,-,Duke,"Durham, North Carolina"
9,2004-01-12,2,2,-,Duke,"Durham, North Carolina"
10,2004-01-19,1,2,1,Duke,"Durham, North Carolina"
11,2004-01-26,1,1,-,Duke,"Durham, North Carolina"
12,2004-02-02,1,1,-,Duke,"Durham, North Carolina"
13,2004-02-09,1,1,-,Duke,"Durham, North Carolina"
14,2004-02-16,3,1,2,Duke,"Durham, North Carolina"
15,2004-02-23,5,3,2,Duke,"Durham, North Carolina"
16,2004-03-01,3,5,2,Duke,"Durham, North Carolina"
17,2004-03-08,5,3,2,Duke,"Durham, North Carolina"
18,Final,6,5,1,Duke,"Durham, North Carolina"
1,Preseason,6,,—,Duke,"Durham, North Carolina"
2,2002-11-18,6,6,-,Duke,"Durham, North Carolina"
3,2002-11-25,6,6,-,Duke,"Durham, North Carolina"
4,2002-12-02,4,6,2,Duke,"Durham, North Carolina"
5,2002-12-09,3,4,1,Duke,"Durham, North Carolina"
6,2002-12-16,3,3,-,Duke,"Durham, North Carolina"
7,2002-12-23,3,3,-,Duke,"Durham, North Carolina"
8,2002-12-30,3,3,-,Duke,"Durham, North Carolina"
9,2003-01-06,1,3,2,Duke,"Durham, North Carolina"
10,2003-01-13,1,1,-,Duke,"Durham, North Carolina"
11,2003-01-20,3,1,2,Duke,"Durham, North Carolina"
12,2003-01-27,5,3,2,Duke,"Durham, North Carolina"
13,2003-02-03,9,5,4,Duke,"Durham, North Carolina"
14,2003-02-10,8,9,1,Duke,"Durham, North Carolina"
15,2003-02-17,8,8,-,Duke,"Durham, North Carolina"
16,2003-02-24,6,8,2,Duke,"Durham, North Carolina"
17,2003-03-03,10,6,4,Duke,"Durham, North Carolina"
18,2003-03-10,12,10,2,Duke,"Durham, North Carolina"
19,Final,7,12,5,Duke,"Durham, North Carolina"
1,Preseason,1,,—,Duke,"Durham, North Carolina"
2,2001-11-19,1,1,-,Duke,"Durham, North Carolina"
3,2001-11-26,1,1,-,Duke,"Durham, North Carolina"
4,2001-12-03,1,1,-,Duke,"Durham, North Carolina"
5,2001-12-10,1,1,-,Duke,"Durham, North Carolina"
6,2001-12-17,1,1,-,Duke,"Durham, North Carolina"
7,2001-12-24,1,1,-,Duke,"Durham, North Carolina"
8,2001-12-31,1,1,-,Duke,"Durham, North Carolina"
9,2002-01-07,2,1,1,Duke,"Durham, North Carolina"
10,2002-01-14,1,2,1,Duke,"Durham, North Carolina"
11,2002-01-21,1,1,-,Duke,"Durham, North Carolina"
12,2002-01-28,1,1,-,Duke,"Durham, North Carolina"
13,2002-02-04,1,1,-,Duke,"Durham, North Carolina"
14,2002-02-11,1,1,-,Duke,"Durham, North Carolina"
15,2002-02-18,3,1,2,Duke,"Durham, North Carolina"
16,2002-02-25,3,3,-,Duke,"Durham, North Carolina"
17,2002-03-04,3,3,-,Duke,"Durham, North Carolina"
18,Final,1,3,2,Duke,"Durham, North Carolina"
1,Preseason,2,,—,Duke,"Durham, North Carolina"
2,2000-11-13,2,2,-,Duke,"Durham, North Carolina"
3,2000-11-20,2,2,-,Duke,"Durham, North Carolina"
4,2000-11-27,1,2,1,Duke,"Durham, North Carolina"
5,2000-12-04,1,1,-,Duke,"Durham, North Carolina"
6,2000-12-11,1,1,-,Duke,"Durham, North Carolina"
7,2000-12-18,1,1,-,Duke,"Durham, North Carolina"
8,2000-12-25,3,1,2,Duke,"Durham, North Carolina"
9,2001-01-01,3,3,-,Duke,"Durham, North Carolina"
10,2001-01-08,2,3,1,Duke,"Durham, North Carolina"
11,2001-01-15,2,2,-,Duke,"Durham, North Carolina"
12,2001-01-22,2,2,-,Duke,"Durham, North Carolina"
13,2001-01-29,2,2,-,Duke,"Durham, North Carolina"
14,2001-02-05,3,2,1,Duke,"Durham, North Carolina"
15,2001-02-12,3,3,-,Duke,"Durham, North Carolina"
16,2001-02-19,4,3,1,Duke,"Durham, North Carolina"
17,2001-02-26,2,4,2,Duke,"Durham, North Carolina"
18,2001-03-05,3,2,1,Duke,"Durham, North Carolina"
19,Final,1,3,2,Duke,"Durham, North Carolina"
1,Preseason,10,,—,Duke,"Durham, North Carolina"
2,1999-11-15,18,10,8,Duke,"Durham, North Carolina"
3,1999-11-22,16,18,2,Duke,"Durham, North Carolina"
4,1999-11-29,17,16,1,Duke,"Durham, North Carolina"
5,1999-12-06,14,17,3,Duke,"Durham, North Carolina"
6,1999-12-13,11,14,3,Duke,"Durham, North Carolina"
7,1999-12-20,10,11,1,Duke,"Durham, North Carolina"
8,1999-12-27,9,10,1,Duke,"Durham, North Carolina"
9,2000-01-03,8,9,1,Duke,"Durham, North Carolina"
10,2000-01-10,6,8,2,Duke,"Durham, North Carolina"
11,2000-01-17,5,6,1,Duke,"Durham, North Carolina"
12,2000-01-24,3,5,2,Duke,"Durham, North Carolina"
13,2000-01-31,3,3,-,Duke,"Durham, North Carolina"
14,2000-02-07,3,3,-,Duke,"Durham, North Carolina"
15,2000-02-14,3,3,-,Duke,"Durham, North Carolina"
16,2000-02-21,2,3,1,Duke,"Durham, North Carolina"
17,2000-02-28,4,2,2,Duke,"Durham, North Carolina"
18,2000-03-06,3,4,1,Duke,"Durham, North Carolina"
19,Final,1,3,2,Duke,"Durham, North Carolina"
1,Preseason,1,,—,Duke,"Durham, North Carolina"
2,1998-11-16,1,1,-,Duke,"Durham, North Carolina"
3,1998-11-23,1,1,-,Duke,"Durham, North Carolina"
4,1998-11-30,4,1,3,Duke,"Durham, North Carolina"
5,1998-12-07,3,4,1,Duke,"Durham, North Carolina"
6,1998-12-14,2,3,1,Duke,"Durham, North Carolina"
7,1998-12-21,2,2,-,Duke,"Durham, North Carolina"
8,1998-12-28,2,2,-,Duke,"Durham, North Carolina"
9,1999-01-04,2,2,-,Duke,"Durham, North Carolina"
10,1999-01-11,2,2,-,Duke,"Durham, North Carolina"
11,1999-01-18,2,2,-,Duke,"Durham, North Carolina"
12,1999-01-25,2,2,-,Duke,"Durham, North Carolina"
13,1999-02-01,2,2,-,Duke,"Durham, North Carolina"
14,1999-02-08,1,2,1,Duke,"Durham, North Carolina"
15,1999-02-15,1,1,-,Duke,"Durham, North Carolina"
16,1999-02-22,1,1,-,Duke,"Durham, North Carolina"
17,1999-03-01,1,1,-,Duke,"Durham, North Carolina"
18,Final,1,1,-,Duke,"Durham, North Carolina"
1,Preseason,3,,—,Duke,"Durham, North Carolina"
2,1997-11-17,3,3,-,Duke,"Durham, North Carolina"
3,1997-11-24,3,3,-,Duke,"Durham, North Carolina"
4,1997-12-01,1,3,2,Duke,"Durham, North Carolina"
5,1997-12-08,1,1,-,Duke,"Durham, North Carolina"
6,1997-12-15,3,1,2,Duke,"Durham, North Carolina"
7,1997-12-22,3,3,-,Duke,"Durham, North Carolina"
8,1997-12-29,3,3,-,Duke,"Durham, North Carolina"
9,1998-01-05,2,3,1,Duke,"Durham, North Carolina"
10,1998-01-12,2,2,-,Duke,"Durham, North Carolina"
11,1998-01-19,1,2,1,Duke,"Durham, North Carolina"
12,1998-01-26,1,1,-,Duke,"Durham, North Carolina"
13,1998-02-02,1,1,-,Duke,"Durham, North Carolina"
14,1998-02-09,2,1,1,Duke,"Durham, North Carolina"
15,1998-02-16,2,2,-,Duke,"Durham, North Carolina"
16,1998-02-23,1,2,1,Duke,"Durham, North Carolina"
17,1998-03-02,1,1,-,Duke,"Durham, North Carolina"
18,Final,3,1,2,Duke,"Durham, North Carolina"
1,Preseason,10,,—,Duke,"Durham, North Carolina"
2,1996-11-18,10,10,-,Duke,"Durham, North Carolina"
3,1996-11-25,6,10,4,Duke,"Durham, North Carolina"
4,1996-12-02,10,6,4,Duke,"Durham, North Carolina"
5,1996-12-09,14,10,4,Duke,"Durham, North Carolina"
6,1996-12-16,11,14,3,Duke,"Durham, North Carolina"
7,1996-12-23,12,11,1,Duke,"Durham, North Carolina"
8,1996-12-30,13,12,1,Duke,"Durham, North Carolina"
9,1997-01-06,10,13,3,Duke,"Durham, North Carolina"
10,1997-01-13,13,10,3,Duke,"Durham, North Carolina"
11,1997-01-20,10,13,3,Duke,"Durham, North Carolina"
12,1997-01-27,12,10,2,Duke,"Durham, North Carolina"
13,1997-02-03,8,12,4,Duke,"Durham, North Carolina"
14,1997-02-10,6,8,2,Duke,"Durham, North Carolina"
15,1997-02-17,6,6,-,Duke,"Durham, North Carolina"
16,1997-02-24,7,6,1,Duke,"Durham, North Carolina"
17,1997-03-03,7,7,-,Duke,"Durham, North Carolina"
18,Final,8,7,1,Duke,"Durham, North Carolina"
